,1M1a-maior,1M1a-menor,1M1b,1M1c,1M1d,1M2a,1M2b,1M2c,1M2d,1M2e,1M3a,1M3b,1M3c,1M3d
Jazz,"(3.0, 0.165)","(1.0, 0.174)","('tríade', 0.485)","(3.0, 0.177)",0.632,"('P', 0.268)","('AAA', 0.013)","(3, 0.193)",0.639,0.494,"(1, 0.598)","('b', 0.449)","('bbbb', 0.037)",0.409
Choro,"(3.0, 0.162)","(1.0, 0.176)","('tríade', 0.643)","(1.0, 0.165)",0.791,"('p', 0.327)","('AaaaAs', 0.006)","(6, 0.126)",0.598,0.500,"(1, 0.316)","('v', 0.249)","('uvb', 0.035)",0.528
Samba,"(3.0, 0.177)","(5.0, 0.175)","('tríade', 0.576)","(5.0, 0.174)",0.736,"('p', 0.305)","('pp', 0.015)","(7, 0.193)",0.700,0.512,"(10, 0.34)","('n', 0.286)","('nn', 0.028)",0.715
Tom Jobim,"(3.0, 0.15)","(3.0, 0.237)","('tríade', 0.394)","(3.0, 0.165)",0.581,"('p', 0.309)","('pa', 0.01)","(5, 0.2)",0.699,0.496,"(1, 0.304)","('b', 0.209)","('pn', 0.031)",0.633
Ivan Lins,"(3.0, 0.191)","(5.0, 0.198)","('tríade', 0.515)","(3.0, 0.2)",0.655,"('p', 0.3)","('upP', 0.018)","(6, 0.177)",0.690,0.489,"(1, 0.38)","('b', 0.235)","('kdb', 0.04)",0.619
Chico Buarque,"(3.0, 0.175)","(1.0, 0.187)","('tríade', 0.539)","(5.0, 0.179)",0.700,"('p', 0.314)","('uuu', 0.023)","(5, 0.168)",0.729,0.496,"(1, 0.302)","('j', 0.194)","('ejjj', 0.038)",0.649
Edu Lobo,"(5.0, 0.159)","(5.0, 0.182)","('tríade', 0.464)","(5.0, 0.186)",0.564,"('p', 0.288)","('APupuuaAP', 0.01)","(7, 0.191)",0.674,0.495,"(1, 0.397)","('b', 0.246)","('uvb', 0.018)",0.560
Caetano Veloso,"(1.0, 0.179)","(5.0, 0.202)","('tríade', 0.56)","(1.0, 0.192)",0.719,"('p', 0.327)","('pppAppp', 0.013)","(6, 0.159)",0.679,0.523,"(1, 0.374)","('j', 0.233)","('ejj', 0.017)",0.599
Djavan,"(1.0, 0.197)","(5.0, 0.218)","('tríade', 0.473)","(1.0, 0.197)",0.642,"('p', 0.229)","('Pa', 0.013)","(5, 0.154)",0.661,0.499,"(1, 0.291)","('b', 0.15)","('nn', 0.017)",0.685
João Bosco,"(3.0, 0.179)","(1.0, 0.187)","('tríade', 0.505)","(1.0, 0.195)",0.696,"('p', 0.295)","('Au', 0.01)","(7, 0.162)",0.706,0.521,"(1, 0.305)","('b', 0.167)","('osb', 0.016)",0.674
Milton Nascimento,"(1.0, 0.189)","(1.0, 0.187)","('tríade', 0.508)","(1.0, 0.213)",0.681,"('u', 0.397)","('upu', 0.015)","(5, 0.19)",0.789,0.495,"(1, 0.465)","('b', 0.302)","('ejej', 0.024)",0.564
Gilberto Gil,"(3.0, 0.184)","(1.0, 0.248)","('tríade', 0.564)","(1.0, 0.212)",0.712,"('p', 0.318)","('Pa', 0.015)","(5, 0.155)",0.710,0.510,"(1, 0.313)","('j', 0.177)","('nng', 0.027)",0.629
Rita Lee,"(1.0, 0.18)","(1.0, 0.256)","('tríade', 0.562)","(1.0, 0.21)",0.736,"('u', 0.299)","('p', 0.017)","(4, 0.173)",0.746,0.503,"(7, 0.483)","('j', 0.425)","('ej', 0.043)",0.580
Carlos Lyra,"(3.0, 0.167)","(5.0, 0.225)","('tríade', 0.49)","(1.0, 0.189)",0.664,"('p', 0.286)","('Au', 0.017)","(5, 0.188)",0.681,0.498,"(10, 0.272)","('n', 0.202)","('gvc', 0.027)",0.725
Dori Caymmmi,"(3.0, 0.18)","(3.0, 0.175)","('tríade', 0.58)","(3.0, 0.176)",0.719,"('p', 0.269)","('ppP', 0.021)","(7, 0.298)",0.701,0.488,"(1, 0.388)","('j', 0.288)","('nnj', 0.041)",0.592
Cartola,"(5.0, 0.174)","(3.0, 0.173)","('tríade', 0.503)","(3.0, 0.188)",0.688,"('p', 0.319)","('a', 0.02)","(6, 0.164)",0.719,0.513,"(1, 0.257)","('n', 0.228)","('nn', 0.031)",0.731
Gonzaguinha,"(3.0, 0.199)","(3.0, 0.209)","('tríade', 0.54)","(3.0, 0.216)",0.713,"('p', 0.304)","('pp', 0.012)","(5, 0.174)",0.728,0.498,"(1, 0.33)","('b', 0.197)","('ejjbb', 0.023)",0.658
